candidato,usuario,fecha,texto,texto_limpio,texto_comentario,texto_comentario_limpio
Daniel_Noboa,@ElPulsoEc,2025-05-17T20:32:19.000Z,"#ElDato  ¡DANIEL NOBOA SIGUE DERROTANDO AL CORREÍSMO! 

 Ganó la Presidencia 2023.
 Ganó la Consulta Popular 2024. 
 Ganó la primera vuelta electoral 2025.
 Ganó la mayoría en la Asamblea - elecciones 2025.
 Ganó la asambleísta más votada. (Annabella Azín) 
 Ganó la",eldato ¡daniel noboa sigue derrotando al correísmo ganó la presidencia 2023 ganó la consulta popular 2024 ganó la primera vuelta electoral 2025 ganó la mayoría en la asamblea elecciones 2025 ganó la asambleísta más votada annabella azín ganó la,El. País en la berg@ y estos limitados pensando solo en Correa,el país en la berg y estos limitados pensando solo en correa
Daniel_Noboa,@ElPulsoEc,2025-05-17T20:32:19.000Z,"#ElDato  ¡DANIEL NOBOA SIGUE DERROTANDO AL CORREÍSMO! 

 Ganó la Presidencia 2023.
 Ganó la Consulta Popular 2024. 
 Ganó la primera vuelta electoral 2025.
 Ganó la mayoría en la Asamblea - elecciones 2025.
 Ganó la asambleísta más votada. (Annabella Azín) 
 Ganó la",eldato ¡daniel noboa sigue derrotando al correísmo ganó la presidencia 2023 ganó la consulta popular 2024 ganó la primera vuelta electoral 2025 ganó la mayoría en la asamblea elecciones 2025 ganó la asambleísta más votada annabella azín ganó la,Mientras sigan estos limitados en el poder el. País seguirá en caída libre,mientras sigan estos limitados en el poder el país seguirá en caída libre
Daniel_Noboa,@elcomerciocom,2025-03-24T02:32:56.000Z," ¿Emergencia en salud o mafias en hospitales? Así fue el cruce entre Luisa González y Daniel Noboa:
f.mtr.cool/npfscmbtyu",¿emergencia en salud o mafias en hospitales así fue el cruce entre luisa gonzález y daniel noboa fmtrcoolnpfscmbtyu,"Fuuuu, niño de cuna de oro ya tuvo 15 meses y no supo generar ni una plaza de empleo. Peor en 4 años",fuuuu niño de cuna de oro ya tuvo 15 meses y no supo generar ni una plaza de empleo peor en 4 años
Daniel_Noboa,@elcomerciocom,2025-03-24T02:32:56.000Z," ¿Emergencia en salud o mafias en hospitales? Así fue el cruce entre Luisa González y Daniel Noboa:
f.mtr.cool/npfscmbtyu",¿emergencia en salud o mafias en hospitales así fue el cruce entre luisa gonzález y daniel noboa fmtrcoolnpfscmbtyu,NOBOA SALE LLORANDO DE LA ARRASTRADA QUE LE PEGÓ LUISA,noboa sale llorando de la arrastrada que le pegó luisa
Daniel_Noboa,@elcomerciocom,2025-03-24T02:32:56.000Z," ¿Emergencia en salud o mafias en hospitales? Así fue el cruce entre Luisa González y Daniel Noboa:
f.mtr.cool/npfscmbtyu",¿emergencia en salud o mafias en hospitales así fue el cruce entre luisa gonzález y daniel noboa fmtrcoolnpfscmbtyu,"Excelente LUISA, debes ser nuestra próxima Presidenta.",excelente luisa debes ser nuestra próxima presidenta
Daniel_Noboa,@elcomerciocom,2025-03-24T02:32:56.000Z," ¿Emergencia en salud o mafias en hospitales? Así fue el cruce entre Luisa González y Daniel Noboa:
f.mtr.cool/npfscmbtyu",¿emergencia en salud o mafias en hospitales así fue el cruce entre luisa gonzález y daniel noboa fmtrcoolnpfscmbtyu,"Todo lo que ofrece Noboa pudo haberlo demostrado durante su gobierno, tuvo la oportunidad, pero no hizo nada. Cualquier cosa que prometa es mentira.",todo lo que ofrece noboa pudo haberlo demostrado durante su gobierno tuvo la oportunidad pero no hizo nada cualquier cosa que prometa es mentira
Daniel_Noboa,@eluniversocom,2025-04-19T20:48:05.000Z,"#DanielNoboa | La Secretaría de Relaciones Exteriores de #México divulgó un comunicado este 19 de abril, tras un mensaje militar que alerta de actos #terroristas en #Ecuador. 
ow.ly/CE6250VEnob",danielnoboa la secretaría de relaciones exteriores de méxico divulgó un comunicado este 19 de abril tras un mensaje militar que alerta de actos terroristas en ecuador owlyce6250venob,Claro allá solo hay abrazos no balazos,claro allá solo hay abrazos no balazos
Daniel_Noboa,@eluniversocom,2025-04-19T20:48:05.000Z,"#DanielNoboa | La Secretaría de Relaciones Exteriores de #México divulgó un comunicado este 19 de abril, tras un mensaje militar que alerta de actos #terroristas en #Ecuador. 
ow.ly/CE6250VEnob",danielnoboa la secretaría de relaciones exteriores de méxico divulgó un comunicado este 19 de abril tras un mensaje militar que alerta de actos terroristas en ecuador owlyce6250venob,"Que se puede esperar de ésta tipa, si su gobierno protege al narcotráfico. México es el exportador más grande de los cártel de la droga, y país santuario de los ladrones de cuello blanco de toda LATAM. Es la sede del GDO Grupo de Puebla",que se puede esperar de ésta tipa si su gobierno protege al narcotráfico méxico es el exportador más grande de los cártel de la droga y país santuario de los ladrones de cuello blanco de toda latam es la sede del gdo grupo de puebla
Daniel_Noboa,@eluniversocom,2025-04-19T20:48:05.000Z,"#DanielNoboa | La Secretaría de Relaciones Exteriores de #México divulgó un comunicado este 19 de abril, tras un mensaje militar que alerta de actos #terroristas en #Ecuador. 
ow.ly/CE6250VEnob",danielnoboa la secretaría de relaciones exteriores de méxico divulgó un comunicado este 19 de abril tras un mensaje militar que alerta de actos terroristas en ecuador owlyce6250venob,"El mensaje dice SICARIOS MEXICANOS más no miembros del gobierno de México estimada @Claudiashein @Claudiashein @Claudiashein , el presidente Bukele mencionó en un comunicado ""DELINCUENTES ECUATORIANOS"" NO SE REFERIA AL ESTADO O PAIS COMO TAL solo a esas lacras que deben pagar con todo el peso de ley",el mensaje dice sicarios mexicanos más no miembros del gobierno de méxico estimada claudiashein claudiashein claudiashein el presidente bukele mencionó en un comunicado delincuentes ecuatorianos no se referia al estado o pais como tal solo a esas lacras que deben pagar con todo el peso de ley
Daniel_Noboa,@eluniversocom,2025-04-19T20:48:05.000Z,"#DanielNoboa | La Secretaría de Relaciones Exteriores de #México divulgó un comunicado este 19 de abril, tras un mensaje militar que alerta de actos #terroristas en #Ecuador. 
ow.ly/CE6250VEnob",danielnoboa la secretaría de relaciones exteriores de méxico divulgó un comunicado este 19 de abril tras un mensaje militar que alerta de actos terroristas en ecuador owlyce6250venob,"Parece que no se ha enterado ésta mujer, en México está la ""crema y nata"" de la delincuencia!.",parece que no se ha enterado ésta mujer en méxico está la crema y nata de la delincuencia
