candidato,enlace_limpio,usuario,fecha,texto,enlace_comentario_limpio,texto_comentario
Daniel_Noboa,https://x.com/radio_sucre700/status/1857617482850128358,@radio_sucre700,2024-11-16T02:51:35.000Z,"Según encuesta de la empresa 
@Comunicaliza
, el presidente 
@DanielNoboaOk
, se mantiene en primer lugar en la intención de votos para las elecciones de 2025, pese al desgaste de su imagen ante los problemas que vive la nación",https://x.com/xaviermullerx/status/1857877889619816788,ni verga! la única posibilidad de que gane es con fraude.
Daniel_Noboa,https://x.com/radio_sucre700/status/1857617482850128358,@radio_sucre700,2024-11-16T02:51:35.000Z,"Según encuesta de la empresa 
@Comunicaliza
, el presidente 
@DanielNoboaOk
, se mantiene en primer lugar en la intención de votos para las elecciones de 2025, pese al desgaste de su imagen ante los problemas que vive la nación",https://x.com/jhonatanssalgue/status/1857880217869758751,Jajajajajjajaj solo los cerebros de cartón que creen en este bobazo
Daniel_Noboa,https://x.com/radio_sucre700/status/1857617482850128358,@radio_sucre700,2024-11-16T02:51:35.000Z,"Según encuesta de la empresa 
@Comunicaliza
, el presidente 
@DanielNoboaOk
, se mantiene en primer lugar en la intención de votos para las elecciones de 2025, pese al desgaste de su imagen ante los problemas que vive la nación",https://x.com/wilsonjaya21480/status/1858331866253733923,N/A
Daniel_Noboa,https://x.com/radio_sucre700/status/1857617482850128358,@radio_sucre700,2024-11-16T02:51:35.000Z,"Según encuesta de la empresa 
@Comunicaliza
, el presidente 
@DanielNoboaOk
, se mantiene en primer lugar en la intención de votos para las elecciones de 2025, pese al desgaste de su imagen ante los problemas que vive la nación",https://x.com/cgongoras1981/status/1857940699066306935,La Medio-s-cres tratando de devengar la Pauta
Daniel_Noboa,https://x.com/radio_sucre700/status/1857617482850128358,@radio_sucre700,2024-11-16T02:51:35.000Z,"Según encuesta de la empresa 
@Comunicaliza
, el presidente 
@DanielNoboaOk
, se mantiene en primer lugar en la intención de votos para las elecciones de 2025, pese al desgaste de su imagen ante los problemas que vive la nación",https://x.com/Chuchoroto_1/status/1858151925033664545,Cualquier candidato es mejor que una rata Correista.
Daniel_Noboa,https://x.com/radio_sucre700/status/1857617482850128358,@radio_sucre700,2024-11-16T02:51:35.000Z,"Según encuesta de la empresa 
@Comunicaliza
, el presidente 
@DanielNoboaOk
, se mantiene en primer lugar en la intención de votos para las elecciones de 2025, pese al desgaste de su imagen ante los problemas que vive la nación",https://x.com/abch1232/status/1857858022049251667,"Esa es la razón que todos los candidatos atacan a Noboa ,las elecciones vamos a ganar los ecuatorianos conscientes"
Daniel_Noboa,https://x.com/radio_sucre700/status/1857617482850128358,@radio_sucre700,2024-11-16T02:51:35.000Z,"Según encuesta de la empresa 
@Comunicaliza
, el presidente 
@DanielNoboaOk
, se mantiene en primer lugar en la intención de votos para las elecciones de 2025, pese al desgaste de su imagen ante los problemas que vive la nación",https://x.com/wilsonjaya21480/status/1858331866253733923/photo/1,N/A
Daniel_Noboa,https://x.com/radio_sucre700/status/1857617482850128358,@radio_sucre700,2024-11-16T02:51:35.000Z,"Según encuesta de la empresa 
@Comunicaliza
, el presidente 
@DanielNoboaOk
, se mantiene en primer lugar en la intención de votos para las elecciones de 2025, pese al desgaste de su imagen ante los problemas que vive la nación",https://x.com/JorgeLo56587146/status/1857840409038201174,No mientan después tiran el culo al monte. La realidad de esa encuesta no es real. Ustedes los de @radio_sucre700 @radio_sucre700 @radio_sucre700 creen que la gente no está cabreada con el gobierno. Cuidado se dan con la piedra en la boca. Le creo a @omarmaluk @omarmaluk @omarmaluk que ha tenido varios aciertos en pasadas elecciones
Daniel_Noboa,https://x.com/radio_sucre700/status/1857617482850128358,@radio_sucre700,2024-11-16T02:51:35.000Z,"Según encuesta de la empresa 
@Comunicaliza
, el presidente 
@DanielNoboaOk
, se mantiene en primer lugar en la intención de votos para las elecciones de 2025, pese al desgaste de su imagen ante los problemas que vive la nación",https://x.com/jocedeno777/status/1858169538803544378,Vil y descarada mentira.....solo los que viven de las limosnas de este gobierno o son odiadores creen en esta información
Daniel_Noboa,https://x.com/radio_sucre700/status/1857617482850128358,@radio_sucre700,2024-11-16T02:51:35.000Z,"Según encuesta de la empresa 
@Comunicaliza
, el presidente 
@DanielNoboaOk
, se mantiene en primer lugar en la intención de votos para las elecciones de 2025, pese al desgaste de su imagen ante los problemas que vive la nación",https://x.com/mrnobodyjg/status/1857827782778130447,N/A
Daniel_Noboa,https://x.com/radio_sucre700/status/1857617482850128358,@radio_sucre700,2024-11-16T02:51:35.000Z,"Según encuesta de la empresa 
@Comunicaliza
, el presidente 
@DanielNoboaOk
, se mantiene en primer lugar en la intención de votos para las elecciones de 2025, pese al desgaste de su imagen ante los problemas que vive la nación",https://x.com/RobertoCabada5/status/1858204444959154633,que encuesta ? y radio sucre no es la radio que siempre le anda lamiendo los pies a Noboa? jajaj
Daniel_Noboa,https://x.com/radio_sucre700/status/1857617482850128358,@radio_sucre700,2024-11-16T02:51:35.000Z,"Según encuesta de la empresa 
@Comunicaliza
, el presidente 
@DanielNoboaOk
, se mantiene en primer lugar en la intención de votos para las elecciones de 2025, pese al desgaste de su imagen ante los problemas que vive la nación",https://x.com/victor30djmix/status/1858306618615644507,Pauteros bien pagados para hablar bien del cartonazo
Daniel_Noboa,https://x.com/radio_sucre700/status/1857617482850128358,@radio_sucre700,2024-11-16T02:51:35.000Z,"Según encuesta de la empresa 
@Comunicaliza
, el presidente 
@DanielNoboaOk
, se mantiene en primer lugar en la intención de votos para las elecciones de 2025, pese al desgaste de su imagen ante los problemas que vive la nación",https://x.com/Principejk/status/1857848085952520325/photo/1,N/A
Daniel_Noboa,https://x.com/radio_sucre700/status/1857617482850128358,@radio_sucre700,2024-11-16T02:51:35.000Z,"Según encuesta de la empresa 
@Comunicaliza
, el presidente 
@DanielNoboaOk
, se mantiene en primer lugar en la intención de votos para las elecciones de 2025, pese al desgaste de su imagen ante los problemas que vive la nación",https://x.com/radio_sucre700/status/1857617482850128358/photo/1,"Según encuesta de la empresa @Comunicaliza @Comunicaliza @Comunicaliza , el presidente @DanielNoboaOk @DanielNoboaOk @DanielNoboaOk , se mantiene en primer lugar en la intención de votos para las elecciones de 2025, pese al desgaste de su imagen ante los problemas que vive la nación"
Daniel_Noboa,https://x.com/radio_sucre700/status/1857617482850128358,@radio_sucre700,2024-11-16T02:51:35.000Z,"Según encuesta de la empresa 
@Comunicaliza
, el presidente 
@DanielNoboaOk
, se mantiene en primer lugar en la intención de votos para las elecciones de 2025, pese al desgaste de su imagen ante los problemas que vive la nación",https://x.com/abch1232/status/1857858022049251667,"Esa es la razón que todos los candidatos atacan a Noboa ,las elecciones vamos a ganar los ecuatorianos conscientes"
Daniel_Noboa,https://x.com/radio_sucre700/status/1857617482850128358,@radio_sucre700,2024-11-16T02:51:35.000Z,"Según encuesta de la empresa 
@Comunicaliza
, el presidente 
@DanielNoboaOk
, se mantiene en primer lugar en la intención de votos para las elecciones de 2025, pese al desgaste de su imagen ante los problemas que vive la nación",https://x.com/mrnobodyjg/status/1857827782778130447/photo/1,N/A
