candidato,palabra_clave,enlace_original,enlace_limpio
Pedro Granja,elecciones 2025,https://x.com/elmercuriomanta/status/1758883471294902388,https://x.com/elmercuriomanta/status/1758883471294902388
Pedro Granja,elecciones 2025,https://x.com/oromartv/status/1823517796073976001/analytics,https://x.com/oromartv/status/1823517796073976001
Pedro Granja,elecciones 2025,https://x.com/PedritoExtranja/status/1940041041882603747/analytics,https://x.com/PedritoExtranja/status/1940041041882603747
Pedro Granja,elecciones 2025,https://x.com/byronbecb/status/1884601734992961826,https://x.com/byronbecb/status/1884601734992961826
Pedro Granja,elecciones 2025,https://x.com/PedritoExtranja/status/1524059052862496771/analytics,https://x.com/PedritoExtranja/status/1524059052862496771
Pedro Granja,elecciones 2025,https://x.com/PilarGGranja/status/1951357208652066958,https://x.com/PilarGGranja/status/1951357208652066958
Pedro Granja,elecciones 2025,https://x.com/PedritoExtranja/status/1805722338542940628/photo/1,https://x.com/PedritoExtranja/status/1805722338542940628/photo/1
Pedro Granja,elecciones 2025,https://x.com/lahistoriaec/status/1806905308050051175/analytics,https://x.com/lahistoriaec/status/1806905308050051175
Pedro Granja,elecciones 2025,https://x.com/ElDatoEcua/status/1879214999081488627/analytics,https://x.com/ElDatoEcua/status/1879214999081488627
Pedro Granja,elecciones 2025,https://x.com/GKecuador/status/1881809746128437585/analytics,https://x.com/GKecuador/status/1881809746128437585
Pedro Granja,elecciones 2025,https://x.com/MarcoAnibal/status/1826261948226310619,https://x.com/MarcoAnibal/status/1826261948226310619
Pedro Granja,elecciones 2025,https://x.com/EcuadorTV/status/1794877097174867986/photo/1,https://x.com/EcuadorTV/status/1794877097174867986/photo/1
Pedro Granja,elecciones 2025,https://x.com/PedritoExtranja/status/1886869695938355255/analytics,https://x.com/PedritoExtranja/status/1886869695938355255
Pedro Granja,elecciones 2025,https://x.com/radio_sucre700/status/1823494961347653860/photo/1,https://x.com/radio_sucre700/status/1823494961347653860/photo/1
Pedro Granja,elecciones 2025,https://x.com/QCanal395702/status/1758964522797216151/photo/1,https://x.com/QCanal395702/status/1758964522797216151/photo/1
Pedro Granja,elecciones 2025,https://x.com/LaPosta_Ecu/status/1879894680693059810,https://x.com/LaPosta_Ecu/status/1879894680693059810
Pedro Granja,elecciones 2025,https://x.com/_SuExcelencia/status/1888716458437333193/analytics,https://x.com/_SuExcelencia/status/1888716458437333193
Pedro Granja,elecciones 2025,https://x.com/MarcoAnibal/status/1879916267710333105/analytics,https://x.com/MarcoAnibal/status/1879916267710333105
Pedro Granja,elecciones 2025,https://x.com/PedritoExtranja/status/1787452810209919168,https://x.com/PedritoExtranja/status/1787452810209919168
Pedro Granja,elecciones 2025,https://x.com/notimundoec/status/1758846987426795581/analytics,https://x.com/notimundoec/status/1758846987426795581
Pedro Granja,elecciones 2025,https://x.com/BNPeriodismo/status/1760371622177833335/analytics,https://x.com/BNPeriodismo/status/1760371622177833335
Pedro Granja,elecciones 2025,https://x.com/elmercuriomanta/status/1758883471294902388/analytics,https://x.com/elmercuriomanta/status/1758883471294902388
Pedro Granja,elecciones 2025,https://x.com/notimundoec/status/1758846987426795581,https://x.com/notimundoec/status/1758846987426795581
Pedro Granja,elecciones 2025,https://x.com/tendenciap_ec/status/1883664576799289553/analytics,https://x.com/tendenciap_ec/status/1883664576799289553
Pedro Granja,elecciones 2025,https://x.com/Expresoec/status/1759620547921457444/analytics,https://x.com/Expresoec/status/1759620547921457444
Pedro Granja,elecciones 2025,https://x.com/oromartv/status/1823517796073976001,https://x.com/oromartv/status/1823517796073976001
