candidato,url,usuario,fecha,texto
Francesco_Tabacchi,https://x.com/FlavioBuccino/status/1835735866423079144,@FlavioBuccino,2024-09-16T17:41:51.000Z,"Los pobres SEGUIRÁN PAGANDO 21% de IVA.
Los menos pobres PAGARÁN MÁS monotributo y ganancias.
Los más ricos PAGARÁN MENOS de bienes personales.
TODOS pagarán doble de impuestos a los combustibles.
LA ARGENTINA LIBERTARIA 2025 según 
@JMilei
.
Cuadro: Propuesta de Presupuesto 2025"
Francesco_Tabacchi,https://x.com/radio_pichincha/status/1830275337155928490,@radio_pichincha,2024-09-01T16:03:39.000Z," #Atención || En un hotel de Quito, el movimiento CREO presentará oficialmente sus postulantes para las Elecciones Generales de 2025. Francesco Tabacchi y Blanca Sacancela conforman el binomio presidencial. En el evento también se encuentran exfuncionarios del gobierno de 
@LassoGuillermo
 como Andrea Montalvo, exsecretaria de Educación Superior."
Francesco_Tabacchi,https://x.com/StatsMillo/status/1984721479896899704,@StatsMillo,2025-11-01T20:37:29.000Z," Stefano Di Carlo estaría rondando en el 50% del total de los votos. 

 El segundo puesto estaría entre Carlos Trillo y Luis Belli. 

 
@MatiasjCabezas"
Francesco_Tabacchi,https://x.com/EcuavisaInforma/status/1933325949199597798,@EcuavisaInforma,2025-06-13T00:50:00.000Z," En el mes de marzo, el ex candidato presidencial por CREO, Francisco Tabacchi anunció que tenía cáncer de amígdala. Hoy subió un video en redes sociales en el que mencionó que venció esta enfermedad.  
bit.ly/4e13Hjt"
Francesco_Tabacchi,https://x.com/catomedia_ucsg/status/1842316996282613880,@catomedia_ucsg,2024-10-04T21:32:55.000Z,"#AHORA: La tarde de este viernes 4 de octubre, Francesco Tabacchi, postulante por el movimiento CREO para las elecciones generales de 2025, respondió sobre la impugnación que el Partido Sociedad Patriótica (PSP) realizó a la candidatura de Jan Topic (SUMA). El alegato del partido se basa en que Topic mantiene contratos con el Estado, lo cual está prohibido por el Código de la Democracia para quienes son candidatos.

Tabacchi mencionó a través de un video difundido en redes sociales, respecto a la situación: ""Ya sea de líderes como Topic, el presidente Noboa, el expresidente Correa o Luisa González, eso no significa que debamos ignorarlos. Nuestro país merece escucharlos a todos. (...) Dejemos que todas las candidaturas participen y que sea el pueblo ecuatoriano quien decida"", indicó."
Francesco_Tabacchi,https://x.com/tctelevision/status/1819205358608404682,@tctelevision,2024-08-02T02:55:31.000Z,"Este jueves, 1 de agosto del 2024, la empresa Comunicaliza presentó una encuesta sobre la intención de voto para las elecciones 2025, la cual está liderada por el Presidente Noboa con un 31,9%, seguido del precandidato del correísmo (RC5), Gustavo Jalkh, con un 15,4%.

La encuesta presenta datos recopilados entre el 25 y el 27 de julio; los candidatos con menos del 5% de intención de voto son: Leonidas Iza, de Pachakutik; Víctor Araus; Andrea González, Henry Kronfle, Carlos Rabascal, Henry Cucalón, entre otros.

Más detalles en: 
tctelevision.com"
Francesco_Tabacchi,https://x.com/agarra_pala/status/1891290214884385266,@agarra_pala,2025-02-17T00:55:00.000Z,"COBERTURA ESPECIAL DE AGARRA LA PALA DESDE PALERMO

Maria Elizabeth: ""Tenemos uno de los mejores ministros, como lo es Luis Caputo, lo apoyo a él y a Javier Milei en esta búsqueda de bajar los impuestos.""

""Yo creo que LLA en el 2025 va a arrasar, los otros partidos no tienen alguien que los represente, la mayoría de los contrarios tienen antecedentes penales""
@BastionUrbano
 @KarinaMileiOk
 @LuisCaputoAR"
Francesco_Tabacchi,https://x.com/elmercuriomanta/status/1847041813523165522/photo/1,@elmercuriomanta,2024-10-17T22:27:39.000Z,"¿Conoces a los candidatos? Te presentamos sus perfiles cada semana rumbo a las elecciones 2025. 

Nuestro perfil presidencial de hoy es de 
@ftabacchir
 acortar.link/TmHFvH

#DecanoDeLaPrensaManabita #elecciones2025"
Francesco_Tabacchi,https://x.com/GKecuador/status/1880268855764795824,@GKecuador,2025-01-17T15:00:03.000Z,"“Tenemos que llenar las cárceles de delincuentes”, dice Francesco Tabacchi, candidato a la presidencia por CREO, en esta entrevista. Mírala completa:"
Francesco_Tabacchi,https://x.com/StatsMillo/status/1984721479896899704/photo/1,@StatsMillo,2025-11-01T20:37:29.000Z," Stefano Di Carlo estaría rondando en el 50% del total de los votos. 

 El segundo puesto estaría entre Carlos Trillo y Luis Belli. 

 
@MatiasjCabezas"
Francesco_Tabacchi,https://x.com/HectorTapia_/status/2007111833665310907,@HectorTapia_,2026-01-02T15:28:46.000Z,"2025 no fue un año plano.
Aprobación promedio de 51.71% para 
@TabascoJavier
: el costo de gobernar y la recuperación al final del año."
Francesco_Tabacchi,https://x.com/Noticias_TVC/status/1883926812633231669,@Noticias_TVC,2025-01-27T17:15:28.000Z,Conozca la hoja de vida del aspirante al Palacio de Carondelet
