candidato,url,usuario,fecha,texto
Henry_Cucalon,https://x.com/_ElOrense/status/1838590974068502682/photo/1,@_ElOrense,2024-09-24T14:47:02.000Z,"¡POR SI GANO! 

El candidato presidencial, Henry Cucalon, hace público quienes serían parte de su gabinete en un hipotético caso de ganar las elecciones 2025. 

En los nombres dados se observa a personas que fueron parte de los gobiernos de 
@Lenin
 Moreno y 
@LassoGuillermo
 ."
Henry_Cucalon,https://x.com/WRadioEc/status/1824092408747045230/photo/1,@WRadioEc,2024-08-15T14:34:54.000Z,Construye tiene listo el binomio presidencial para el 2025. Se trata de Henry Cucalón y Carla Larrea. Esta postulación será ratificada en las elecciones primarias de la organización política previstas para este jueves 15 de agosto en Quito.
Henry_Cucalon,https://x.com/teleamazonasec/status/1884227098514239912,@teleamazonasec,2025-01-28T13:04:48.000Z,"#ENTREVISTA | ""En Ecuador, cualquier extranjero que esté cometiendo actividades delictivas también tiene que ser deportado "", dice Henry Cucalón, candidato presidencial por Construye 
ow.ly/MNWs50UOxKf"
Henry_Cucalon,https://x.com/Sinburka/status/1887155043247304953,@Sinburka,2025-02-05T15:03:18.000Z,"Mi voto va por 
@henrycucalon
.  No me importa si tiene chance o no o si llega o no a la 2°vuelta.  Es un voto de convicción como pretendo sean todos los actos de mi vida. No tengo por qué decidir entre un impúber tardío, imprudente y berrinchudo, o la títere de un déspota malvado."
Henry_Cucalon,https://x.com/FricksonE3/status/1855595956110028865,@FricksonE3,2024-11-10T12:58:45.000Z,"El 24 de mayo de 2025, el Ecuador tendrá la dicha de posesionar como Presidente de la República a 
@henrycucalon
. Correismo y noboismo NUNCA MÁS! 

Guarden estas palabras!"
Henry_Cucalon,https://x.com/henrycucalon/status/1856667737218744651,@henrycucalon,2024-11-13T11:57:38.000Z,"Tengo la experiencia y el carácter para tomar las decisiones necesarias para sacar a nuestro país de la crisis. Me he preparado para ser presidente.
#CucalónEsLaOpción"
Henry_Cucalon,https://x.com/grok/status/1905043271023235446,@JacoboG_Ecu,2025-03-26T23:39:50.000Z,"O ME HABLAS EN ESPAÑOL, O TE LARGAS"
Henry_Cucalon,https://x.com/carlaflarrea/status/1875934800143618177,@carlaflarrea,2025-01-05T15:02:08.000Z,"Orgullosa de ser parte del Binomio Cucalón-Larrea. De tener a una persona como 
@henrycucalon
 como candidato a la Presidencia, un hombre preparado, honesto, respetuoso y firme. Comenzamos a construir un camino hacia el cambio radical que el país necesita. Es hora de votar por el mejor. En este 2025, la 25!  
@Construye_Ecu"
Henry_Cucalon,https://x.com/Plataforma_aire/status/1673732439804354565/photo/1,@Plataforma_aire,2023-06-27T16:38:04.000Z,"#Nacionales I Henry Cucalón no descarta participar en las elecciones del 2025
Hace dos años fui precandidato presidencial. Ahora mi nombre también fue mencionado.
@CREOEcuador
 
@LassoGuillermo"
Henry_Cucalon,https://x.com/Primicias/status/1806018748924530762,@Primicias,2024-06-26T17:36:38.000Z,"Fuentes cercanas a Construye señalan que Henry Cucalón es uno de los posibles precandidatos del movimiento para las presidenciales de 2025. ¿Y María Paula Romo? 
prim.ec/5qve50SqkAr"
Henry_Cucalon,https://x.com/lahoraecuador/status/1816485119844065634,@lahoraecuador,2024-07-25T14:46:15.000Z,"Henry Cucalón, precandidato a la Presidencia por el movimiento Construye, comentó cómo afrontaría el tema de seguridad , en caso de llegar al poder. Lee sus propuestas .  
bit.ly/3WCOjmC"
Henry_Cucalon,https://x.com/_ElOrense/status/1838590974068502682,@_ElOrense,2024-09-24T14:47:02.000Z,"¡POR SI GANO! 

El candidato presidencial, Henry Cucalon, hace público quienes serían parte de su gabinete en un hipotético caso de ganar las elecciones 2025. 

En los nombres dados se observa a personas que fueron parte de los gobiernos de 
@Lenin
 Moreno y 
@LassoGuillermo
 ."
Henry_Cucalon,https://x.com/henrycucalon/status/1881135259057787214,@henrycucalon,2025-01-20T00:22:50.000Z,"No nos merecemos esta película de horror que el correísmo y noboísmo generaron. Yo lideraré el #CambioRadical del país con capacidad.   

#DebatePresidencial2025 #CucalónSube #Construye"
Henry_Cucalon,https://x.com/ecuainm_oficial/status/1823935350747566423/photo/2,@ecuainm_oficial,2024-08-15T04:10:49.000Z,"#URGENTE
Henry Cucalón y Carla Larrea Falconí son el binomio del Movimiento Construye para las elecciones de 2025."
Henry_Cucalon,https://x.com/radiocentroec/status/1735070620814037098,@radiocentroec,2023-12-13T22:54:06.000Z," ¿Candidato presidencial en el 2025? POR QUÉ NO.
@henrycucalon
 analiza posible postulación. Su vocación, dice, es un honor. Como es un honor servir, ""y no como cualquier pirata"".
Fuera de la política, en nuestro segmento #Encuentros  junto a 
@ajungbluth
 nos cuenta de su vida, sus gustos, y algo de su futuro.

Entrevista   
youtu.be/spOW7CrrvVM"
Henry_Cucalon,https://x.com/kchradio/status/1813224461077778501,@kchradio,2024-07-16T14:49:34.000Z,"El precandidato presidencial de Construye, Henry Cucalón, habla sobre su carrera hacia las elecciones de 2025.

Más detalles en 
kchcomunicacion.com"
Henry_Cucalon,https://x.com/grok/status/1904653799022620730,@JacoboG_Ecu,2025-03-25T21:10:58.000Z,"Hola 
@grok
 es verdad que Cucalón crece?"
Henry_Cucalon,https://x.com/PhilipAMLC/status/1842052480911220745,@PhilipAMLC,2024-10-04T04:01:49.000Z,"Acepto esto para Halloween, no para las elecciones.

La candidatura de Henry Cucalón, ex-empleado de Lasso.
Participará con Construye25 de María Paula Romo, antiguo Ruptura 25, traidores a Alianza País.
Apoyaron y trabajaron con Lenin Moreno.
Ana Galarza los promociona y defiende, por ahora.
Juan Sebastián Roldán y Alexandra Ocles, dos nefastas figuras de la política, son parte de ellos. 
Su binomio es Carla Larrea, desconocida para mí, pero toca buscar.

Tal vez lo peor: son los que lucharon y candidatizaron a Fernando Villavicencio (+)

Otro circo. 
lahora.com.ec/pais/eleccione
…"
Henry_Cucalon,https://x.com/ElRebeldeEc/status/1810795057395454175,@ElRebeldeEc,2024-07-09T21:55:59.000Z,"Ahora que tendremos que elegir 151 asambleístas en elecciones 2025; espero que Henry Cucalón sea el abanderado para reducirlos a 90;vía consulta o asamblea constituyente,SIN PLENOS PODERES; solo pa reformar la constitución. Menores desde 13 años juzgar c adultos. Entre otros tema"
Henry_Cucalon,https://x.com/ecuadorenvivo/status/1803628920136192084,@ecuadorenvivo,2024-06-20T03:20:19.000Z,"El exministro de Gobierno, 
@henrycucalon
, no descartó la posibilidad de lanzar su candidatura para las elecciones del 2025. Agregó que, de momento, ha mantenido conversaciones con varios grupos políticos, entre los que se incluye el movimiento Construye. 
i.mtr.cool/jhskvntegx"
Henry_Cucalon,https://x.com/henrycucalon/status/1854656045366354151,@henrycucalon,2024-11-07T22:43:53.000Z,"“Mi gobierno será un gobierno de concertación y convergencia nacional” 
#CucalonEsLaOpcion"
Henry_Cucalon,https://x.com/LaDefensaEc/status/1881135612977463297,@LaDefensaEc,2025-01-20T00:24:14.000Z,"YO NO SOY MENTIROSO COMO TÚ, DANIEL
El candidato de Construye, 
@henrycucalon
, aseguró que actuará con firmeza contra los criminales, porque él no ha pactado con las mafias ""ni miente por cada diente"" como otros candidatos que ofrecieron hasta cárceles en barcazas."
Henry_Cucalon,https://x.com/henrycucalon/status/1872372040487014485,@henrycucalon,2024-12-26T20:00:56.000Z,"De entrada ejecutaré reformas en materia económica, política y de seguridad. No hay tiempo que perder. 
@BNPeriodismo
 

#CucalónEsLaOpción #Construye2025 #Cucalón2025 #Entrevista"
Henry_Cucalon,https://x.com/ElPortalEcu/status/1797624929120333911/photo/2,@ElPortalEcu,2024-06-03T13:42:36.000Z," CUCALON IRÍA POR LA PRESIDENCIA 

El exministro del Gobierno de Guillermo Lasso, Henry Cucalon, asegura que no descarta una participación electoral para las elecciones de 2025."
Henry_Cucalon,https://x.com/lahoraecuador/status/1869426443312312448/photo/1,@lahoraecuador,2024-12-18T16:56:11.000Z,"Henry Cucalón (
@henrycucalon
), candidato presidencial por Construye, afirma no tenerle miedo al correísmo  y se presenta como una alternativa frente a la polarización entre Daniel Noboa y Luisa González . Lee sus declaraciones.  
bit.ly/4glQwdn"
Henry_Cucalon,https://x.com/ecuadorenvivo/status/1803628920136192084/photo/1,@ecuadorenvivo,2024-06-20T03:20:19.000Z,"El exministro de Gobierno, 
@henrycucalon
, no descartó la posibilidad de lanzar su candidatura para las elecciones del 2025. Agregó que, de momento, ha mantenido conversaciones con varios grupos políticos, entre los que se incluye el movimiento Construye. 
i.mtr.cool/jhskvntegx"
Henry_Cucalon,https://x.com/henrycucalon/status/1911840456469860566,@henrycucalon,2025-04-14T17:54:19.000Z,"Lo racional y responsable es aceptar los resultados. La democracia no funciona solo cuando uno gana y tenemos que asumir que estamos todos juntos en esto. En vez de sembrar dudas y enlodar, hay que afrontar los graves problemas que vive el país y aportar en cómo resolverlos. 
@925forever"
Henry_Cucalon,https://x.com/Plataforma_aire/status/1673732439804354565,@Plataforma_aire,2023-06-27T16:38:04.000Z,"#Nacionales I Henry Cucalón no descarta participar en las elecciones del 2025
Hace dos años fui precandidato presidencial. Ahora mi nombre también fue mencionado.
@CREOEcuador
 
@LassoGuillermo"
Henry_Cucalon,https://x.com/radio_pichincha/status/1730595104539160621,@radio_pichincha,2023-12-01T14:30:00.000Z,"#Nacionales | El pueblo sabe que tengo una voz y la voy a hacer escuchar, responde Henry Cucalón frente a elecciones en 2025.
Los detalles 
radiopichincha.com/el-pueblo-sabe
…"
Henry_Cucalon,https://x.com/henrycucalon/status/1861548319601787069,@henrycucalon,2024-11-26T23:11:19.000Z,"Imaginen que pudiéramos ver el futuro: ¿qué pasaría si gana Luisa o si gana Noboa?……. Pero aún tenemos una opción.

#CucalónEsLaOpción #CucalónEsLaSolución #Cucalón2025 #Ecuador #Quito #ec #Guayaquil"
Henry_Cucalon,https://x.com/RadioHuancavilk/status/1888621679611449422,@RadioHuancavilk,2025-02-09T16:11:11.000Z,Opinión de Henry Cucalón en el transcurso de las elecciones presidenciales 2025
Henry_Cucalon,https://x.com/henrycucalon/status/1856425509741076712/photo/1,@henrycucalon,2024-11-12T19:55:06.000Z,"“Especial atención a la prevención y a las políticas sociales para evitar que nuestros jóvenes caigan en manos del crimen organizado.”
#CucalónEsLaOpción"
Henry_Cucalon,https://x.com/henrycucalon/status/1881513484321788147,@henrycucalon,2025-01-21T01:25:46.000Z,"Eliminaré los subsidios ineficientes para destinarlos a educación, salud y seguridad para los más pobres. Voy a trabajar para que la economía funcione para todos. 
@radiosucesosec
 

@Elimpactoinform
#CucalónSube #CambioRadical #Construye"
